x.study6,y.study6
0.806108868,1.261022918
1.42432311,1.830957538
-0.784144005,-2.412075041
-0.652404366,-1.979097156
0.650778363,2.395199228
0.18304797,-1.493488571
0.54877496,0.209932836
1.404684295,1.929715459
0.38708312,0.835641317
1.05170127,1.67699966
0.622905462,-0.083871259
0.43362039,-0.953301632
0.386084438,-0.491458828
1.291323304,-0.012240704
-1.002259874,-0.851818387
-1.105182729,-0.437517289
0.591946003,2.171323737
-0.119689664,-0.339166183
0.074005212,-1.387198822
0.741277377,1.240074664
0.753295048,1.134374281
-0.262670503,-1.080566105
-0.312543869,-2.446907375
0.073598609,0.248478893
1.063017789,1.731006959
0.426020487,-0.435751853
1.433007511,1.61063119
-0.00763687,-0.870612339
1.125667605,1.362057956
0.883002311,0.265630923
0.612083461,-0.277728226
0.414700707,-0.041405683
-0.279882397,-1.141913797
-0.109037509,-1.285907206
0.229395496,-0.667625238
0.048888891,-0.546046875
0.943224468,0.662862226
-0.109317123,0.837260513
-0.070376922,-2.014965747
-0.484319088,-1.245422063
-0.138336329,-0.091885627
-0.068765642,1.106640674
-2.313735774,-1.883832184
-1.364831697,-1.760462229
-0.07248691,-0.96660305
-0.265283775,-0.43047175
-1.200869328,-0.640142113
-1.991538176,-2.3248507
-0.35436922,-0.764059877
0.653495766,0.331131001
1.773238632,2.264941232
-0.038456794,0.485972361
1.493184841,1.433269814
0.083022158,-0.579407505
0.115532104,0.924675806
0.324825313,-0.085795382
-0.870577245,0.203441523
-0.051718213,-0.700469849
0.908447699,1.02735666
-0.749725787,-2.821236624
-0.32160607,-1.009877255
-1.14777075,-1.611663656
0.354352196,-0.976905026
0.424799782,-1.177873541
0.648347351,1.056459496
-1.219810032,-0.728919885
0.107235035,-1.777227382
-0.944057692,-1.0088044
-3.85E-04,-1.700015862
1.34262392,-0.094914831
-0.503525287,-0.537510718
0.716683321,-0.499007273
-0.749668584,-0.281620298
-0.47852821,-1.002101474
0.438721751,0.409432033
-0.67911227,-1.739278705
-1.702964835,-3.121465817
1.265168435,1.77103121
0.360357238,0.025996722
-0.583639441,-1.372522606
-1.994078787,-2.073178442
1.902209771,3.04312743
3.390370821,3.380430683
0.207480407,-1.124088671
0.849806648,-0.276283441
1.224560312,-0.780545932
-0.701804434,-0.41526375
-0.35119623,-0.732524104
-1.727121037,-1.778072878
-0.736578232,-1.307501455
0.622409783,-0.431467115
-0.290715989,-1.692084516
-0.214211534,0.055476268
-0.112559552,-2.124513031
-1.863666982,-1.62730775
0.837629934,-0.463741136
-1.443492889,-1.51866045
-0.208570162,-1.531689057
-0.438563462,-1.528029623
-0.218593817,0.968810156
1.459965945,1.778285337
-0.582059918,-3.27697501
-0.783097596,-1.176469088
-1.519653995,-2.304015264
-0.805698082,-2.458149647
-1.166184707,-1.393793438
0.407946196,-0.03043558
-0.863004246,-1.696791863
0.304042035,1.700127763
-0.146427488,-2.97994105
-1.43356218,-0.955976475
-0.790607786,-1.598112085
0.885112455,1.041959911
0.903076086,-0.047017149
2.005573274,1.271520595
-0.003580308,-2.301046907
-1.495826814,-2.045760878
-0.768417027,1.188034128
0.408488505,0.829892859
1.900136335,3.389843288
0.110009123,0.439312867
1.140386825,1.842429012
0.768081305,1.149780129
-1.168091622,-1.12960241
-0.171112652,-1.337615878
1.305261536,0.374878725
0.87609611,-1.22617498
0.463796142,-0.104935427
0.477114245,0.814953733
-0.4914053,-0.020206522
-1.319385313,-1.619601899
1.295425791,0.347510315
-1.420219492,1.505458442
-0.93889592,-0.692408108
0.628964993,1.506737116
-1.262194549,-2.011528238
-0.551870413,-1.143613405
-1.182799507,-1.16727843
0.620663558,1.753227733
0.446313017,-0.429850523
0.421884693,0.708444411
0.442464772,-2.217420497
0.557245746,-0.502286363
0.639356492,-1.193988519
-1.968661557,-1.014766654
-0.148816361,-0.898016677
0.112463813,-0.863509502
0.724676203,1.565391164
-1.187486076,-0.50307285
-0.49960019,-1.957452231
-1.073642991,-1.106050847
1.057240213,-0.633720352
1.279072583,0.39849561
0.787676725,1.886467226
-1.222403383,-0.194844733
0.451952117,0.996847046
1.150449186,0.139884775
0.167940981,-2.297324909
-0.566109333,-2.293841178
-1.086118241,-0.590862314
-0.665302796,-1.494455516
0.714848356,-1.977718634
-0.4316611,-1.178632863
0.22761494,1.056678899
1.294945796,1.537988541
0.57833494,-0.792533508
1.364672781,-0.561083163
-1.701579803,-2.795927722
-0.28067628,-0.824726026
0.065068019,0.366574614
0.578589292,-1.910927992
-1.169206622,-0.582620384
0.806184855,0.297135859
0.307390076,0.300780426
0.263806014,-1.968627936
0.508484792,-0.716238376
-0.11635844,-1.15026805
0.925546098,1.47790861
0.648229774,1.136339694
-0.150209374,-0.299821086
1.040377019,2.178143757
0.292558685,-0.800237692
0.668751399,1.144232621
-0.594177642,-1.178566825
1.580431837,0.603772545
-0.003988944,0.332304192
0.847842769,1.722097414
-0.100116526,0.192081581
-0.279629907,-1.367674896
0.784438245,-0.203702721
-1.584616645,-0.517210138
0.478366148,0.269809766
0.393566373,0.653505918
-2.695329369,-2.818794275
0.368377329,1.057633511
-2.168417747,-3.045290853
0.659804377,0.746776963
-0.453913733,-1.835708025
-0.694936825,-3.691656136
-0.006846303,-1.936889472
1.373052045,1.13205436
-0.635323077,-0.295279617
0.558103294,-1.745369906
0.341157868,-1.484204572
-1.179518629,0.151085695
-1.741022017,-2.427717772
-1.992585771,-1.635878522
0.551274211,-0.528676288
-0.034742062,-0.920303468
1.850571704,1.731329103
0.573675108,0.034429103
0.849695891,0.150639718
1.334383585,0.475672786
-0.500719098,-4.108287752
0.510097928,1.820867805
0.86879327,2.156369897
1.369351688,-0.110149371
0.762651146,0.072441539
0.421147173,1.229297122
-0.868224047,-0.374218488
0.729560361,1.478567264
0.500265872,-1.130474103
0.634250254,2.669458442
0.423645046,-1.276704714
-0.201838045,-0.03065085
-0.076865898,-0.52208008
0.687364113,-0.250593188
0.171631507,-0.791477132
-0.830108574,-2.332928145
-0.29015912,0.754515373
-1.319125724,-1.625037426
-0.967031903,-1.192095622
-0.14461107,-0.519858878
-1.798132556,-2.403763636
-1.688542475,-3.095248212
1.102565199,0.904649199
-0.576618924,-3.220970324
-1.85169173,-3.47911557
-0.112863239,-1.775021393
1.321069267,-0.150448766
0.662254297,0.231424677
0.441383198,1.47469344
1.183745912,-0.762607783
-0.771501441,-0.859596517
0.729689191,1.101660142
