x.study4,y.study4
0.120719329,0.464961437
0.863648434,2.413509614
1.380514528,4.11236401
1.966248015,7.962097705
-0.028395055,-0.290869527
-2.24905109,-1.507702966
0.031526005,1.156646835
0.205561208,3.68278366
-0.155345347,0.187694929
0.568288621,2.855663515
1.010677965,2.462963622
-0.51798243,1.539075722
-0.294095327,2.545938937
0.397842209,4.335829498
-0.550223741,1.371785363
0.091267383,3.641377901
-1.961707599,-0.851778314
-1.119899721,-0.639683496
-1.327755476,-0.424403422
-0.853623697,-0.97463659
-0.693304528,0.116792499
0.382305143,3.57629127
0.982113003,4.04879961
-0.727383529,0.694564744
-0.996838982,-1.31260018
-1.041688859,-0.964048656
-0.414588726,0.067873523
-0.239029068,1.562489377
0.483617534,1.559074039
-0.321324842,1.572278889
-2.078489269,-3.434452149
-0.091434276,3.277461143
1.187186811,4.363214613
1.191601269,3.210131404
-0.788963218,0.361226758
-1.547776544,-1.669893741
2.458060492,6.735675295
-0.162421942,1.556919447
-0.09745125,0.423324907
0.420574189,1.637372709
-1.614039457,-1.142996846
-0.728219111,1.874671012
-1.540442405,-0.218967787
-0.693094614,-0.322173689
0.118849433,2.676790908
-1.364709458,-1.019927111
0.589982679,3.054994809
0.289344029,2.437576137
-0.904215026,2.4767502
0.226324942,0.871251674
0.748081162,3.158267191
1.061095253,1.879639298
-0.212848279,1.80698214
-0.093636794,2.541332585
-0.086714135,2.903608115
1.441461756,2.468211705
1.125071892,4.195655092
0.834401568,4.816666673
-0.2873408,0.66102493
0.373241434,2.125805605
0.403290331,2.359014863
-1.041673294,0.005512842
-1.728304515,-0.993094804
0.641830028,4.171048109
-1.529310531,-1.378040446
0.001683688,1.823117155
0.250247821,4.590341208
0.56386739,3.134653656
0.189426238,2.174663162
-0.732853806,-1.115433663
0.98636586,3.518559247
1.738633767,4.746720239
0.881178809,3.302223623
-1.943650901,-2.639612022
1.399576185,3.625641579
-0.056055946,0.795735291
0.524914279,2.414300557
0.622033236,4.183345834
-0.096686073,2.487987062
-0.075263198,1.119842686
1.019157069,1.89292605
0.711601922,2.142665145
0.990262246,3.065444336
2.382926695,6.321978139
0.664415864,2.233996363
0.207381157,4.026957108
-2.210633111,-2.838820723
2.691714003,5.605714464
-0.482676822,0.561522314
2.374734715,5.197028348
0.374643568,2.496799085
1.538430199,4.814375804
-0.109710321,1.769615126
0.511470755,0.981154177
0.21395798,2.253577133
-0.186120699,1.578602351
-0.120393825,-0.027481838
1.012834336,4.522032562
-0.201458147,2.023052413
-2.037682494,0.058377506
-0.195889249,1.406212092
0.539790606,2.704083197
0.616455716,2.901090008
0.616567817,2.874485638
-1.692101521,-3.438417965
0.368742058,0.658206047
0.96785921,3.402536536
1.276578681,3.493971248
-0.224961271,1.248770048
-0.321892586,-1.102053351
1.487837832,2.984260752
-1.667928046,-2.645806599
-0.436829977,1.776164949
0.457462079,1.400927778
-1.617773765,-2.249155568
0.279627862,2.238479457
1.877864021,4.914984815
-0.004060653,1.762277744
-0.278454025,3.39705145
0.474911714,1.408279912
-0.279072171,0.785340877
0.813400374,2.666153093
0.904435464,4.870409021
0.002691661,0.859280665
-1.176692158,-0.697508706
-1.318220727,-0.096263846
-0.592997366,-0.565806886
0.797380501,4.807287217
-1.958205175,-1.415843732
-1.886325159,-3.030403358
-0.653779825,0.831733226
0.394394848,2.165193266
-0.913566048,0.196778519
0.886749037,3.234010274
0.33336997,3.332068767
-0.170639618,-0.053399863
0.818828137,2.670732542
0.388365163,2.11775212
-0.445935027,-0.223036406
0.231114934,1.025755728
0.647513358,2.846161215
0.356283345,2.173282419
-0.658010208,-2.18023298
0.855202205,4.30387489
1.152936226,4.086318043
0.276274557,4.568390862
0.144104662,2.584381587
-0.075625081,1.03216725
2.161415846,8.58520752
0.276315532,4.984487987
-0.158294029,0.102554791
-2.507917802,-2.655702912
-1.565281765,-1.561755447
-0.077673201,1.662265555
0.206294045,2.245738243
0.276872459,0.891428099
0.82150678,3.484089567
-0.194152409,3.002071107
1.214588794,3.79137298
-0.921516043,-0.294467155
-1.20844272,0.723007636
-1.228986178,0.183925684
0.742297024,1.397736409
-0.082919942,1.69374976
0.789817922,4.791119464
-0.267706422,2.527764931
-0.591892102,0.914838316
-0.368352575,1.641809473
-1.852616824,-3.089605992
-1.16961526,-0.301883074
-1.442034646,-2.072046439
1.054322272,3.188551875
-0.597330091,1.420143322
0.789459853,1.999990745
1.516490602,4.805251866
-0.191774809,1.68569334
0.283878906,2.221659307
-1.751067519,0.120993411
-0.818669778,-0.958601796
0.056214849,2.337212342
0.299086903,2.106945591
-0.759398117,-0.084472381
2.684858999,7.270386293
-0.458390139,-0.271362373
0.064243557,0.432982596
0.649791867,2.374036344
-0.026018635,3.325656113
-0.643567387,0.452343929
1.045305664,3.960636866
1.615545323,4.540011156
-0.029693971,2.037368815
0.562267345,1.748804329
-0.097412499,2.595423555
1.016455218,4.158344785
-1.156167394,-1.382988553
2.320860224,6.152191821
-0.603531248,1.18907259
-1.458849414,-0.59165563
-0.350917827,2.435754817
0.146708484,1.291177437
